id	class	text
2115	error	'%s' : incompatible types
2117	error	'%s' : illegal for struct/union
2118	error	negative subscript
2119	error	typedef types both define indirection
2120	error	void illegal with all types
2121	error	'%s' : bad %Fs operand
2124	error	divide or mod by zero
2125	error	'%Fs' : allocation exceeds 64K
2127	error	parameter allocation exceeds 32K
2130	error	#line expected a string containing the file name, found '%s'
2131	error	more than one memory attribute
2132	error	syntax error : unexpected identifier
2133	error	'%Fs' : unknown size
2134	error	'%Fs' : struct/union too large
2136	error	'%Fs' : prototype must have parameter types
2137	error	empty character constant
2139	error	type following '%s' is illegal
2140	error	argument cannot be function type
2141	error	value out of range for enum constant
2143	error	syntax error : missing '%s' before '%s'
2144	error	syntax error : missing '%s' before type '%Fs'
2145	error	syntax error : missing '%s' before identifier
2146	error	syntax error : missing '%s' before identifier '%s'
2147	error	unknown size
2148	error	array too large
2149	error	'%Fs' : named bit field cannot have 0 width
2150	error	'%Fs' : bit field must have type int, signed int, or unsigned int
2151	error	more than one language attribute
2152	error	'%s' : pointers to functions with different attributes
2153	error	hex constants must have at least 1 hex digit
2154	error	'%Fs' : does not refer to a segment name
2156	error	pragma must be outside function
2157	error	'%s' : must be declared before use in pragma list
2158	error	'%s' : is a function
2159	error	more than one storage class specified
2160	error	## cannot occur at the beginning of a macro definition
2161	error	## cannot occur at the end of a macro definition
2162	error	expected macro formal parameter
2163	error	'%s' : not available as an intrinsic function
2164	error	'%s' : intrinsic function not declared
2165	error	'%s' : cannot modify pointers to data
2166	error	lvalue specifies const object
2167	error	'%Fs' : too many actual parameters for intrinsic
2168	error	'%Fs' : too few actual parameters for intrinsic
2169	error	'%Fs' : intrinsic function, cannot be defined
2170	error	'%s' : not declared as a function, cannot be intrinsic
2171	error	'%s' : illegal operand
2172	error	'%Fs' : actual is not a pointer : parameter %d
2173	error	'%Fs' : actual is not a pointer : parameter %d, parameter list %d
2174	error	'%Fs' : actual has type void : parameter %d, parameter list %d
2175	error	'%Fs' : unresolved external
2176	error	static huge data not supported by /qc
2177	error	constant too big
2178	error	'%s' : storage class for same_seg variables must be extern
2179	error	'%Fs' : was used in same_seg, but storage class is no longer extern
2180	error	controlling expression has type void
2182	error	'%Fs' : has type void
2183	error	pragma requires command line option '%Fs'
2185	error	'%Fs' : illegal _based allocation
2187	error	cast of near function pointer to far function pointer
2189	error	#error : %Fs
2193	error	'%Fs' : already in a segment
2194	error	'%Fs' : is a text segment
2195	error	'%Fs' : is a data segment
2196	error	/ML cannot be used with floating point
2200	error	'%Fs' : function has already been defined
2201	error	'%Fs' : storage class must be extern
2205	error	'%Fs' : cannot initialize extern block-scoped variables
2206	error	'%Fs' : typedef cannot be used for function definition
2207	error	'%Fs' in struct/union '%Fs' has a zero-sized array
2208	error	no members defined using this type
2209	error	type cast in _based construct must be (_segment)
2210	error	'%Fs' : must be near/far data pointer
2211	error	(_segment) applied to function identifier '%s'
2212	error	'%Fs' : _based not available for functions/pointers to functions
2213	error	'%s' : illegal argument to _based
2214	error	pointers based on void require the use of :>
2215	error	:> operator only for objects based on void
2216	error	'%Fs' may not be used with '%Fs'
2217	error	'%Fs' must be used with '%Fs'
2218	error	type in _based construct must be void
2219	error	syntax error : type qualifier must be after '*'
2220	error	warning treated as error - no object file generated
2221	error	'.' : left operand points to struct/union, use '->'
2222	error	'->' : left operand has struct/union type, use '.'
2223	error	left of '->%Fs' must point to struct/union
2224	error	left of '.%Fs' must have struct/union type
2225	error	'%Fs' : first member of struct is unnamed
2226	error	syntax error : unexpected type '%Fs'
2227	error	left of '->%Fs' must point to class/struct/union
2228	error	left of '.%Fs' must have class/struct/union type
2229	error	'%Fs' in %s '%Fs' has a zero-sized array
2230	error	'%Fs' : first member of %s is unnamed
2231	error	'.' : left operand points to %s, use '->'
2232	error	'->' : left operand has %s type, use '.'
2400	error	in-line syntax error in '%s', found '%Fs'
