index	virtual_address	value	type	pad	stored	validated
474	0x00011dca	0x00070d2c	3	0	0x00080d2c	True
475	0x00011e4e	0x00090045	3	0	0x000a0045	True
476	0x00011e80	0x00070d3c	3	0	0x00080d3c	True
477	0x00011f67	0x00070d3c	3	0	0x00080d3c	True
478	0x00011fa8	0x00070d3c	3	0	0x00080d3c	True
479	0x00011ffc	0x00070d3c	3	0	0x00080d3c	True
480	0x00012002	0x00070d2c	3	0	0x00080d2c	True
481	0x00012035	0x00090045	3	0	0x000a0045	True
482	0x00012054	0x00070d3c	3	0	0x00080d3c	True
483	0x00012108	0x00080758	3	0	0x00090758	True
484	0x00012154	0x00070d3c	3	0	0x00080d3c	True
485	0x00012253	0x00070d3c	3	0	0x00080d3c	True
486	0x0001228b	0x00070d3c	3	0	0x00080d3c	True
487	0x000122e9	0x00070d3c	3	0	0x00080d3c	True
488	0x000122ef	0x00070d2c	3	0	0x00080d2c	True
489	0x00012387	0x00080758	3	0	0x00090758	True
490	0x000123ac	0x00070d3c	3	0	0x00080d3c	True
491	0x000123de	0x00070d3c	3	0	0x00080d3c	True
492	0x00012448	0x0001244c	3	0	0x0002244c	True
493	0x0001244c	0x0001219c	3	0	0x0002219c	True
494	0x00012450	0x0001219c	3	0	0x0002219c	True
495	0x00012454	0x0001219c	3	0	0x0002219c	True
496	0x00012458	0x0001219c	3	0	0x0002219c	True
